Title,Year,Source title,topic
Check-in experience: What is the role of emotions and satisfaction?,2022,Journal of Hospitality and Tourism Management,3
Insights on Millennial’s Purchase Intention Towards Green Online Travel Products in Malaysia: The Road to Recovery,2023,Journal of Tourism and Development,-1
Personal Brand Equity and Telepresence's Role in Tourism Electronic Commerce Live Streaming,2024,International Journal of Tourism Research,10
"AI and HRM in tourism and hospitality in Egypt: Inevitability, impact, and future",2024,"HRM, Artificial Intelligence and the Future of Work: Insights from the Global South",0
The Implementation of Mobile Application Ordering System to Optimize The User Experience of Food and Beverage Industry,2023,"2023 IEEE 14th Control and System Graduate Research Colloquium, ICSGRC 2023 - Conference Proceeding",-1
How Do Customers React to Technology in the Hospitality and Tourism Industry?,2024,Journal of Hospitality and Tourism Research,-1
Computing Diner Preferences for Menu Variability and Quality of Fine Dining Restaurants,2023,Lecture Notes in Networks and Systems,5
e-WOM: How do Fake Reviews in the Saudi Tourism Sector Impact Consumers’ Purchasing Intentions?,2024,WSEAS Transactions on Business and Economics,7
Innovative Design Platform on Hotel Industry 4.0 Using AI/ML,2023,"Smart Innovation, Systems and Technologies",0
Satisfaction on the Driving Seat: Exploring the Influence of Social Media Marketing Activities on Followers’ Purchase Intention in the Restaurant Industry Context,2023,Sustainability (Switzerland),-1
Human Resources Management and the Customer Experience within the Hospitality Industry,2024,"Customer Experience Management in the Caribbean: Concepts, Case Studies and Challenges",-1
Can perceived coolness enhance memorable customer experience? The role of customer engagement,2023,International Journal of Contemporary Hospitality Management,3
Check-in significance: Differentiating loyalty reward members and non-members,2024,International Journal of Tourism Research,3
A SYSTEMATIC REVIEW OF THE HOSPITALITY AND TOURISM INDUSTRY THROUGH THE LENS OF DISRUPTIVE INNOVATIONS,2024,Review of Management Literature,0
From review filtering to topic modeling: a deep learning-based approach for analyzing negative online reviews of five-star hotels,2025,Journal of Hospitality and Tourism Technology,2
Experience management in hospitality and tourism: reflections and implications for future research,2024,International Journal of Contemporary Hospitality Management,6
Elevating Customer Experience using Interaction Management Approach in the Indian Hospitality Industry,2023,International Journal of Hospitality and Tourism Systems,3
Service Robots in Hospitality and Tourism Before and During the COVID-19: Bibliometric Analysis and Research Agenda,2024,SAGE Open,1
Determining a Revenue Generating Model that Creates Customer Value by Using a Skip-the-line Application in Romania,2023,European Journal of Interdisciplinary Studies,11
Impact of health tourism visitor experiences on behavioral intention,2024,Journal of Organizational Change Management,9
Come in please: a virtual reality study on entrance design factors influencing the experience of hospitality,2023,Journal of Environmental Psychology,4
Ramadhan street food bazaar shopping: investigating the effect of Malaysian Muslim consumer’s visual sensory cues on purchase behaviour and satisfaction,2024,Journal of Islamic Marketing,-1
Intelligent Integration of E-Ink Displays: Leveraging Electronics for Label Automation and Enhanced User Experience,2024,"2nd International Conference on Sustainable Computing and Smart Systems, ICSCSS 2024 - Proceedings",-1
Say Aye to AI: Customer Acceptance and Intention to Use Service Robots in the Hospitality Industry,2023,Lecture Notes in Networks and Systems,1
Balancing Iraqi Southern Heritage and Modern Technologies in Hotel Interior Design,2025,"2025 IEEE 4th International Conference on Computing and Machine Intelligence, ICMI 2025 - Proceedings",-1
Engaging customers through satisfaction; does social media marketing and perceived innovativeness really matter? A time-lagged study in the hospitality industry,2024,Journal of Hospitality and Tourism Insights,-1
Digitalization and customer service standards: A service industry perspective,2024,Artificial Intelligence for Smart Technology in the Hospitality and Tourism Industry,-1
Service Expectations and Experiences of Visitors to a Provincial Nature Reserve in South Africa,2024,Springer Proceedings in Business and Economics,-1
"DOES ENVIRONMENTAL, SOCIAL AND GOVERNANCE HAVE AN IMPACT ON HOW GREEN HOTELS ARE? PURCHASE INTENTION AS A MODERATOR VARIABLE. OPINIONS OF A SAMPLE OF HOTEL CUSTOMERS IN IRAQ",2024,Geojournal of Tourism and Geosites,8
Need for distinction moderates customer responses to preferential treatment,2023,Journal of Services Marketing,-1
30 years of artificial intelligence (AI) research relating to the hospitality and tourism industry,2023,International Journal of Contemporary Hospitality Management,0
Ethically meaningful customer experiences: satisfying an evolving desire for purpose through CSR,2023,Journal of Sustainable Tourism,6
"Digital Finance in the Hospitality Industry: Advancements, Challenges, and Opportunities",2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",11
EXPLORING THE UTILITY OF BUSINESS INTELLIGENCE AND ARTIFICIAL INTELLIGENCE IMPLEMENTATION,2024,"International Conference on Business, Management and Economics Engineering Future-BME",0
The Role of Micro Influencers in the Consumer Decision-Making on Budget Hotels in the Indian Context,2024,IFIP Advances in Information and Communication Technology,10
Navigating organic influence: a scientific evaluation of online review mechanisms,2025,International Journal of Advertising,-1
Intrusion Detection Systems for Smart Tourism Platforms: Safeguarding Food Safety and User Privacy,2024,Journal of Internet Services and Information Security,0
Convergence of E-Banking and Hospitality in India: Exploring Opportunities and Challenges,2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",11
ESG in the digital age: enhancing customer perception through strategic communication in restaurant mobile ordering,2025,International Journal of Contemporary Hospitality Management,-1
Unveiling the human–robot encounter: guests’ perspectives on smart hotel experience,2024,Journal of Hospitality and Tourism Technology,1
Metaverse as a Socio-Technical Phenomenon in Hospitality and Tourism: An Approach to Sustainable Development Goals,2024,Metaverse and Tourism: Rethinking Implications on Virtual Reality,4
Key-Factor-Aware Customer Value Prediction on Multi-View Hypergraphs,2025,Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,2
Increasing Tourism Resilience with Digital Engagement in the Hotel Industry,2024,"Tourism and COVID-19: Impacts, Responses, and Realignments",11
Deep learning mechanism and big data in hospitality and tourism: Developing personalized restaurant recommendation model to customer decision-making,2024,International Journal of Hospitality Management,2
The impact of corporate social responsibility on customer loyalty in hospitality business,2024,Quality and Quantity,3
Hotel customers’ behavioral intentions toward service robots: the role of utilitarian and hedonic values,2023,Journal of Hospitality and Tourism Technology,1
Chatbot Based Ticket Booking System for All Modes of Transport,2024,Lecture Notes in Networks and Systems,0
"‘Do not be Deteriorated by service failures, Learn from them and start managing it’: Conditions and mechanisms for managing online service failures",2024,Journal of Retailing and Consumer Services,-1
Integrated Web Based Augmented Reality (AR) and AI for Immersive Booking Experience,2025,"Annual International Conference on Data Science, Machine Learning and Blockchain Technology, AICDMB 2025",4
EMPLOYEE EXPERIENCE JOURNEY MAPPING: A NEW APPROACH TO ATTRACTING TALENT IN THE TOURISM SECTOR IN THE SHADOWS OF COVID-19,2023,Tourism and Hospitality Management,6
Determinants of Coffee Shop Preference Through Online Review Data Analytics,2025,"Proceeding - 2025 4th International Conference on Creative Communication and Innovative Technology: Empowering Transformative MATURE LEADERSHIP: Harnessing Technological Advancement for Global Sustainability, ICCIT 2025",2
"Motivational, Situational, and Psychological Model of Service Robot Adoption in Hotels: The Moderating Role of Involvement",2023,International Journal of Social Robotics,1
Customer experiences with service robots in hotels: a review and research agenda,2025,Journal of Hospitality Marketing and Management,1
Leveraging Digital Transformation in Marketing of Home-Stay Businesses to Promote Tourism: in the Hospitality Industry,2024,"Technology and Luxury Hospitality: Ai, Blockchain and the Metaverse",11
