"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"236";"METHOD FOR PROVIDING INTEGRATED SHOPPING CART SERVICE";"MOON SAE GIL [KR]";"MOON SAE GIL [KR]";"KR102878067B1 
KR20250025803A";"2023-08-16";"G06F16/951 
G06Q30/06";"G06F16/951 (KR) 
G06Q30/0605 (KR) 
G06Q30/0613 (KR) 
G06Q30/0625 (KR) 
G06Q30/0633 (KR)";"2025-02-25 
2025-10-28";"2025-02-25";"094822347";
"237";"Cross-border e-commerce transaction recommendation method and system based on Internet";"LIU TIANTIAN";"LIU TIANTIAN";"CN114398548A";"2022-01-12";"G06F16/9535 
G06Q30/06 
G06Q40/04";"G06F16/9535 (CN) 
G06Q30/0631 (CN) 
G06Q40/04 (CN)";"2022-04-26";"2022-04-26";"081231508";
"238";"AUTOMATED REPLENISHMENT SHOPPING PLATFORM";"FURPHY THOMAS W [US] 
LEIGH WILLIAM JUSTIN [US] 
BASHIR UMAIR [US]";"REPLENIUM INC [US]";"US2022198483A1";"2020-12-18";"G06N20/00 
G06Q10/08 
G06Q30/02 
G06Q30/06 
G06Q50/04";"G06N20/00 (US) 
G06Q10/0838 (EP,US) 
G06Q10/0875 (EP,US) 
G06Q30/0202 (EP,US) 
G06Q30/0222 (EP,US) 
G06Q30/0223 (EP,US) 
G06Q30/0226 (EP,US) 
G06Q30/0239 (EP,US) 
G06Q30/0631 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q50/04 (EP,US) 
G06N5/01 (EP) 
Y02P90/30 (EP)";"2022-06-23";"2022-06-23";"082023641";
"239";"RECIPE SCANNER AND SHOPPING CART GENERATOR";"LAPIERRE NATHAN GERARD [CA] 
NAMBI BALAJI [US] 
SAKSENA NITIN [US] 
HIGGINS LAURA [US] 
WANG GUANGCHEN [CA] 
CROWE JEFFREY [CA]";"ALBERTSONS COMPANIES INC [US]";"US2025225569A1";"2024-01-09";"G06F40/40 
G06Q30/0601 
G06V30/142 
G06V30/19";"G06F40/40 (EP,US) 
G06Q30/0633 (EP) 
G06Q30/0635 (EP,US) 
G06V30/142 (EP,US) 
G06V30/19007 (EP,US) 
G06Q30/0603 (EP,US) 
G06Q30/0641 (EP,US)";"2025-07-10";"2025-07-10";"096264071";
"240";"Method for reducing SKU total quantity massive explosion in customized commodity vertical e-commerce field";"YAN XIAOYING 
YUAN YAN 
MORIKAWA";"SHANGHAI CUNXIN ORIGINALITY TECH CO LTD";"CN116029791A";"2023-02-04";"G06Q30/0601";"";"2023-04-28";"2023-04-28";"086079252";
"241";"Online and offline e-commerce service method and system";"JING YUNLONG";"HUNAN XISHI NETWORK TECH CO LTD";"CN117934123A";"2024-03-22";"G06Q10/0835 
G06Q30/0201 
G06Q30/0601";"G06Q10/08355 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN) 
G06Q30/0641 (CN)";"2024-04-26";"2024-04-26";"090770665";
"242";"Auf künstlicher Intelligenz und Blockchain basierendes System zur Verwaltung von E-Commerce Big Data für die logistische Lieferkette";"";"ALSHUDUKHI JALAWI SULAIMAN [SA] 
YADAV KUSUM [SA]";"DE202022106989U1";"2022-12-14";"G06Q10/08 
G06Q30/00 
G06Q30/02";"G06Q10/08 (EP) 
G06Q30/0201 (EP) 
G06Q30/0601 (EP) 
G06Q2220/00 (EP)";"2023-01-12";"2023-01-12";"085132373";
"243";"E-commerce platform management system based on big data";"QI JIE";"LIANDUODUO INFORMATION TECH CHONGQING CO LTD";"CN117952720A";"2024-02-22";"G06F16/951 
G06F16/954 
G06Q30/0201 
G06Q30/0601";"G06F16/951 (CN) 
G06F16/954 (CN) 
G06Q30/0201 (CN) 
G06Q30/0629 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-04-30";"2024-04-30";"090802981";
"244";"Target-oriented e-commerce advertisement pushing method based on AI";"ZHU ZHIHUI 
XIANG LING";"GUANGZHOU MARITIME INST";"CN117333233A";"2023-10-16";"G06N20/00 
G06Q30/0241 
G06Q30/0242 
G06Q30/0251";"G06N20/00 (CN) 
G06Q30/0242 (CN) 
G06Q30/0271 (CN) 
G06Q30/0277 (CN)";"2024-01-02";"2024-01-02";"089295035";
"245";"Cross-platform product recommendation system";"HE YING-QI [TW] 
LI KUN-MOU [TW] 
XIE ZI-CHEN [TW] 
ZHENG YI-WEN [TW] 
YANG JI-SHENG [TW] 
HONG YI-SHU [TW]";"91APP TAIWAN INC [TW]";"TWM675367U";"2025-06-03";"G06Q30/00";"";"2025-10-01";"2025-10-01";"098262184";
"246";"GENERATIVE ARTIFICIAL INTELLIGENCE PERSONALIZATION ENGINE IN AN ITEM LISTING SYSTEM";"SIPE III RICHARD VANCE [US] 
SPRAGUE COREY ALAN [US] 
ZADORSKII MAKSIM [US] 
BRADSHAW NICKALAS N [US] 
BOEDIGHEIMER LAUREN ELIZABETH [US] 
JONES RYAN DANIEL [US] 
NI YAN [US]";"EBAY INC [US]";"US2025022027A1";"2023-07-12";"G06F40/40 
G06Q30/0601";"G06F40/40 (EP) 
G06Q30/0621 (EP) 
G06Q30/0625 (EP,US) 
G06Q30/0627 (EP,US) 
G06Q30/0629 (EP,US) 
G06Q30/0631 (EP,US) 
G06Q30/0643 (EP) 
G07C5/0808 (EP)";"2025-01-16";"2025-01-16";"094211389";
"247";"Article recommendation method and article recommendation device";"ZHANG HONGJIAO";"BEIJING WODONG TIANJUN INFORMATION TECHNOLOGY CO LTD 
BEIJING JINGDONG CENTURY TRADING CO LTD";"CN119107161A";"2024-09-20";"G06Q30/0601 
G06T19/20";"";"2024-12-10";"2024-12-10";"093715272";
"248";"E-commerce design automation workflow optimization system";"YU LINYI";"SHANGHAI HAIPAI LINGKE CULTURE TECH CO LTD";"CN120106906A";"2025-02-14";"G06Q10/0633 
G06Q30/0241";"G06Q10/0633 (CN) 
G06Q30/0276 (CN)";"2025-06-06";"2025-06-06";"095878330";
"249";"E-commerce order management system";"ZHANG WEI 
WANG XIAO 
ZHANG HONGMIN";"INNER MONGOLIA AIYANGNIU TECH CO LTD";"CN119784459A";"2024-11-22";"G06F17/18 
G06Q10/0639 
G06Q30/0601";"";"2025-04-08";"2025-04-08";"095239231";
"250";"Medicine recommendation model training method and device, equipment and storage medium";"XIE FANGMIN 
ZHOU FENG 
GUO ZHI 
LU LEHENG 
WU SHIZHI";"GUANGZHOU ARK INFORMATION TECH CO LTD";"CN119338557A";"2024-10-16";"G06F18/213 
G06F18/214 
G06F18/24 
G06N3/08 
G06Q30/0601";"G06F18/213 (CN) 
G06F18/214 (CN) 
G06F18/24 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN) 
Y02A90/10 (EP)";"2025-01-21";"2025-01-21";"094263722";
